data;feriado
01/1/1990;Ano-Novo
13/4/1990;Sexta-feira Santa
15/4/1990;Páscoa
21/4/1990;Tiradentes
01/5/1990;Dia do Trabalhador
14/6/1990;Corpus Christi
07/9/1990;Dia da Independência do Brasil - 7 de Setembro
12/10/1990;Nossa Senhora Aparecida
02/11/1990;Finados
15/11/1990;Proclamação da República
25/12/1990;Natal
01/1/1991;Ano-Novo
29/3/1991;Sexta-feira Santa
31/3/1991;Páscoa
21/4/1991;Tiradentes
01/5/1991;Dia do Trabalhador
30/5/1991;Corpus Christi
07/9/1991;Dia da Independência do Brasil - 7 de Setembro
12/10/1991;Nossa Senhora Aparecida
02/11/1991;Finados
15/11/1991;Proclamação da República
25/12/1991;Natal
01/1/1992;Ano-Novo
17/4/1992;Sexta-feira Santa
19/4/1992;Páscoa
21/4/1992;Tiradentes
01/5/1992;Dia do Trabalhador
18/6/1992;Corpus Christi
07/9/1992;Dia da Independência do Brasil - 7 de Setembro
12/10/1992;Nossa Senhora Aparecida
02/11/1992;Finados
15/11/1992;Proclamação da República
25/12/1992;Natal
01/1/1993;Ano-Novo
09/4/1993;Sexta-feira Santa
11/4/1993;Páscoa
21/4/1993;Tiradentes
01/5/1993;Dia do Trabalhador
10/6/1993;Corpus Christi
07/9/1993;Dia da Independência do Brasil - 7 de Setembro
12/10/1993;Nossa Senhora Aparecida
02/11/1993;Finados
15/11/1993;Proclamação da República
25/12/1993;Natal
01/1/1994;Ano-Novo
01/4/1994;Sexta-feira Santa
03/4/1994;Páscoa
21/4/1994;Tiradentes
01/5/1994;Dia do Trabalhador
02/6/1994;Corpus Christi
07/9/1994;Dia da Independência do Brasil - 7 de Setembro
12/10/1994;Nossa Senhora Aparecida
02/11/1994;Finados
15/11/1994;Proclamação da República
25/12/1994;Natal
01/1/1995;Ano-Novo
14/4/1995;Sexta-feira Santa
16/4/1995;Páscoa
21/4/1995;Tiradentes
01/5/1995;Dia do Trabalhador
15/6/1995;Corpus Christi
07/9/1995;Dia da Independência do Brasil - 7 de Setembro
12/10/1995;Nossa Senhora Aparecida
02/11/1995;Finados
15/11/1995;Proclamação da República
25/12/1995;Natal
01/1/1996;Ano-Novo
